Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
JD,"JD.com, Inc.",32.07,-0.40,-1.23%,5.884M,12.964M,46.229B,7.78,+21.16%
GM,General Motors Company,52.89,+0.21,+0.40%,6.599M,11.085M,50.85B,7.39,+13.62%
SMR,NuScale Power Corporation,35.88,+0.67,+1.90%,5.843M,12.119M,4.786B,--,+162.09%
DOW,Dow Inc.,28.46,-0.27,-0.94%,5.95M,10.887M,20.117B,71.15,-46.10%
ZETA,Zeta Global Holdings Corp.,15.45,+0.29,+1.91%,5.692M,6.275M,3.639B,--,-9.75%
ASX,"ASE Technology Holding Co., Ltd.",10.37,+0.07,+0.68%,5.715M,13.41M,22.534B,19.94,-11.97%
CSX,CSX Corporation,33.60,-0.01,-0.03%,5.639M,15.661M,63.119B,20.00,+0.63%
KVUE,Kenvue Inc.,21.05,+0.15,+0.72%,6.093M,19.16M,40.414B,37.59,+15.34%
CDE,"Coeur Mining, Inc.",9.12,+0.14,+1.56%,5.638M,16.295M,5.834B,31.45,+42.72%
ON,ON Semiconductor Corporation,56.60,+0.65,+1.16%,5.553M,10.755M,23.652B,39.31,-24.54%
TEVA,Teva Pharmaceutical Industries Limited,17.01,-0.04,-0.23%,5.548M,12.165M,19.508B,--,+3.97%
TFC,Truist Financial Corporation,45.54,+0.51,+1.13%,5.611M,9.184M,59.636B,--,+19.06%
NWL,Newell Brands Inc.,5.84,-0.08,-1.35%,5.482M,10.242M,2.439B,--,-5.19%
SCHW,The Charles Schwab Corporation,91.48,+0.14,+0.15%,5.766M,9.015M,166.216B,27.72,+24.90%
RNW,ReNew Energy Global Plc,7.67,+0.75,+10.84%,5.403M,"900,337",2.781B,59.00,+27.62%
DOC,"Healthpeak Properties, Inc.",18.22,-0.09,-0.49%,5.547M,6.752M,12.658B,44.44,-7.18%
UAA,"Under Armour, Inc.",7.11,-0.11,-1.52%,5.426M,13.733M,2.96B,--,+4.56%
HST,"Host Hotels & Resorts, Inc.",16.21,+0.04,+0.25%,5.301M,10.566M,11.397B,16.89,-8.37%
NWG,NatWest Group plc,13.44,+0.43,+3.31%,5.279M,5.291M,54.354B,8.56,+56.10%
AQN,Algonquin Power & Utilities Corp.,5.79,+0.09,+1.58%,5.272M,12.967M,4.473B,20.68,-3.18%
PYPL,"PayPal Holdings, Inc.",76.59,+0.28,+0.37%,5.263M,10.169M,74.486B,17.21,+29.62%
NEM,Newmont Corporation,59.90,-0.16,-0.27%,5.37M,13.619M,66.669B,13.64,+35.74%
GME,GameStop Corp.,23.59,-0.36,-1.50%,5.265M,14.75M,10.553B,44.51,-3.52%
ANET,Arista Networks Inc,102.52,+1.39,+1.37%,5.297M,10.71M,128.757B,43.26,+10.51%
WDC,Western Digital Corporation,66.08,+0.30,+0.46%,5.162M,7.353M,23.054B,22.63,+11.37%
NBIS,Nebius Group N.V.,50.25,+0.28,+0.56%,5.088M,12.094M,12.048B,--,+151.25%
CVX,Chevron Corporation,148.37,+0.39,+0.26%,5.155M,9.631M,257.011B,16.96,-3.86%
SBSW,Sibanye Stillwater Limited,7.57,-0.05,-0.66%,5.067M,11.866M,5.357B,--,+56.40%
LRCX,Lam Research Corporation,98.81,-0.02,-0.02%,5.029M,11.747M,126.39B,27.52,-10.30%
BTDR,Bitdeer Technologies Group,13.77,+0.69,+5.28%,5.006M,5.147M,2.709B,--,+10.87%
